"feature","chi2_score_milk","p_values_milk","sample_count_milk","correlation_to_milk"
"zuckerglasur",34.7619047619048,2.8284485986991185e-08,3,0.06336730887845364
"buchweizen",34.7619047619048,2.8284485986991185e-08,7,0.18098458040843973
"puderzucker",34.7619047619048,2.8284485986991185e-08,3,0.06336730887845363
"feigen",34.7619047619048,2.8284485986991185e-08,3,0.14767985240297352
"feigenstücke",34.7619047619048,2.8284485986991185e-08,3,0.14942190098056377
"630",34.7619047619048,2.8284485986991185e-08,3,0.06336730887845364
"trockenfrüchte",34.7619047619048,2.8284485986991185e-08,3,0.19035302653320932
"saft",34.7619047619048,2.8284485986991185e-08,143,0.044779157344736566
"apfelstücke",34.7619047619048,2.8284485986991185e-08,5,0.06010790907854874
"palmolie",33.953723446260824,4.236845560679935e-08,6,0.044779157344736566
"walnuss",33.953723446260824,4.236845560679935e-08,5,0.043215660548691456
"enthalten",33.81250773648673,4.5468144901226254e-08,83,0.07371578171140938
"vanilleextrakt",33.11384255194621,6.447932056330731e-08,6,0.07765789051362841
"tamari",32.68090569561164,8.006293309795507e-08,8,0.16940717053301166
