"feature","chi2_score_eggs","p_values_eggs","sample_count_eggs","correlation_to_eggs"
"ammonium",68.27027027027025,1.4972667208021187e-15,16,0.07698642351077332
"gingembre",68.27027027027025,1.4972667208021187e-15,2,0.07698642351077334
"marin",66.5412539505137,3.554269012161187e-15,74,0.038032690025692276
"lever",65.97077187845959,4.7274713236885125e-15,10,0.07698642351077332
"käse",65.78248020880505,5.194167131416817e-15,17,0.07698642351077331
"fr",65.73304701143925,5.324149013701563e-15,222,0.07698642351077334
"carbonate",65.30624629434308,6.590658368775683e-15,20,0.04621986956465107
"olive",64.64392027438029,9.178063711583343e-15,23,0.1307369651242703
"cuisine",64.64392027438029,9.178063711583343e-15,6,0.1187175230880332
"complet",64.4415512237291,1.0155351247354429e-14,38,0.07710332019984731
"rapsöl",61.93506127242266,3.5560865827328506e-14,22,0.13728690461446347
"graines",60.68281152439554,6.651121850206875e-14,12,0.16564348486641842
"reinweinsteinbackpulver",60.42488076311597,7.566653686359293e-14,6,0.20294703293370972
"epeautre",59.65730436318665,1.1106595491962587e-13,4,0.23371742972947596
"reinweinstein",59.20429069139014,1.3930016276237376e-13,10,0.16803797948687368
"weinsäure",58.15739006333061,2.3511655343285663e-13,5,0.08633192070351937
"natriumwaterstofcarbonaat",58.15739006333061,2.3511655343285663e-13,7,0.1656434848664184
"ammoniumhydrogencarbonat",56.64228934817163,5.015140990797595e-13,5,0.18627837277622825
"marzipan",56.64228934817163,5.015140990797595e-13,9,0.1335446139387704
"orangenöl",55.261077946029815,1.000482259163217e-12,4,0.07698642351077332
"ceylan",54.01672398956894,1.863877734707637e-12,6,0.171693911408181
"huile",53.621035521178754,2.271642993430886e-12,52,0.15587998159920236
"curcuma",53.03684327892245,3.0422563985659604e-12,5,0.1656434848664184
"lait",52.37049815754934,4.245128274761003e-12,42,0.09823087006716687
"palmolie",52.11802579304023,4.816310696933253e-12,11,0.07698642351077332
"glukosesirup",52.09509579215312,4.871847457361189e-12,23,0.07698642351077334
"hafervollkornschrot",51.202702702702695,7.611572332885097e-12,3,0.17169391140818102
"speltbloem",51.202702702702695,7.611572332885097e-12,3,0.1621149140332245
"provence",51.202702702702695,7.611572332885097e-12,3,0.12725257774110538
"liebstöckelpulver",51.202702702702695,7.611572332885097e-12,3,0.23231696783413516
"schwach",51.202702702702695,7.611572332885097e-12,3,0.04621986956465107
"hähnchenfleisch",50.431372549019564,1.1193517783496578e-11,2,0.16564348486641842
"chiches",50.431372549019564,1.1193517783496578e-11,2,0.07698642351077332
"gna2ignnimi12",50.431372549019564,1.1193517783496578e-11,2,0.10335007698693206
"œufs",50.431372549019564,1.1193517783496578e-11,2,0.18269492506705182
"crustacés",50.431372549019564,1.1193517783496578e-11,2,0.15432002411851262
"cardamome",50.431372549019564,1.1193517783496578e-11,2,0.07698642351077332
"reisstärke",50.431372549019564,1.1193517783496578e-11,2,0.05279874088476917
"grieß",50.431372549019564,1.1193517783496578e-11,23,0.07698642351077331
"ammoniumcarbonate",50.431372549019564,1.1193517783496578e-11,2,0.07698642351077332
"tardgólalzoige",50.431372549019564,1.1193517783496578e-11,2,0.07698642351077334
"hühnerbrustfleisch",50.431372549019564,1.1193517783496578e-11,2,0.07698642351077332
"alcool",50.431372549019564,1.1193517783496578e-11,2,0.07698642351077334
"canelle",50.431372549019564,1.1193517783496578e-11,2,0.04621986956465107
"éclats",50.431372549019564,1.1193517783496578e-11,2,0.07698642351077332
"weizenglucosesirup",50.431372549019564,1.1193517783496578e-11,2,0.1403254009472985
"zuckerrübenstrup",50.431372549019564,1.1193517783496578e-11,2,0.07698642351077332
"origine",50.431372549019564,1.1193517783496578e-11,2,0.16564348486641842
"ma",50.431372549019564,1.1193517783496578e-11,626,0.18480764834478136
"grirofle",50.431372549019564,1.1193517783496578e-11,2,0.10895689048641612
"vinaigre",50.431372549019564,1.1193517783496578e-11,2,0.09379584701391994
"rapsol",50.431372549019564,1.1193517783496578e-11,2,0.10895689048641613
"hühnerfett",50.431372549019564,1.1193517783496578e-11,2,0.14159574379952392
"mitch",50.431372549019564,1.1193517783496578e-11,2,0.07698642351077331
"moeratz",50.431372549019564,1.1193517783496578e-11,2,0.08228157953275955
"rak",50.431372549019564,1.1193517783496578e-11,68,0.06450528115908655
"noires",50.431372549019564,1.1193517783496578e-11,2,0.32374088204817064
"dinkelvoll",50.431372549019564,1.1193517783496578e-11,60,0.09075581145630181
"mollusques",50.431372549019564,1.1193517783496578e-11,2,0.1656434848664184
"faride",50.431372549019564,1.1193517783496578e-11,2,0.10034830260341943
"ukeohseup",50.431372549019564,1.1193517783496578e-11,2,0.12131495418859588
"moutarde",50.431372549019564,1.1193517783496578e-11,2,0.1656434848664184
"güteklasse",50.431372549019564,1.1193517783496578e-11,2,0.07698642351077331
"spéculoos",50.431372549019564,1.1193517783496578e-11,2,0.08228157953275955
"sirup",50.431372549019564,1.1193517783496578e-11,75,0.07698642351077331
"romarin",50.431372549019564,1.1193517783496578e-11,2,0.07698642351077332
"fruktose",50.431372549019564,1.1193517783496578e-11,2,0.07698642351077334
"gautri",50.431372549019564,1.1193517783496578e-11,2,0.054417244948385984
"glacés",50.431372549019564,1.1193517783496578e-11,2,0.11115265878767118
"jaune",50.431372549019564,1.1193517783496578e-11,2,0.16564348486641842
"geflügelkonzentrat",50.431372549019564,1.1193517783496578e-11,2,0.20294703293370972
"protéines",50.431372549019564,1.1193517783496578e-11,2,0.1656434848664184
"gegart",50.431372549019564,1.1193517783496578e-11,2,0.1656434848664184
"italie",50.431372549019564,1.1193517783496578e-11,4,0.07698642351077331
"natriumhydrogencarbonate",50.431372549019564,1.1193517783496578e-11,2,0.4459706643960402
"enen",50.431372549019564,1.1193517783496578e-11,424,0.234430932329946
"huhn",50.431372549019564,1.1193517783496578e-11,2,0.6496902301480499
"glukose",50.431372549019564,1.1193517783496578e-11,25,0.07698642351077334
"rehy",50.431372549019564,1.1193517783496578e-11,2,0.11708378801125602
"nudeln",50.431372549019564,1.1193517783496578e-11,2,0.262200118443119
"rarmene",50.431372549019564,1.1193517783496578e-11,2,0.1656434848664184
"kurku",50.431372549019564,1.1193517783496578e-11,34,0.13940123074992292
"ecreme",50.431372549019564,1.1193517783496578e-11,2,0.11708378801125602
"edisher",50.431372549019564,1.1193517783496578e-11,2,0.13053171854022957
"effilées",50.431372549019564,1.1193517783496578e-11,2,0.1656434848664184
"poisson",50.431372549019564,1.1193517783496578e-11,2,0.07698642351077332
"driert",50.431372549019564,1.1193517783496578e-11,4,0.07698642351077331
"verts",50.431372549019564,1.1193517783496578e-11,3,0.11448976128379713
"eigelbpulver",50.431372549019564,1.1193517783496578e-11,3,0.07324505899642239
"kornschrot",50.431372549019564,1.1193517783496578e-11,15,0.143022501026992
"weizenvollkormehl",50.431372549019564,1.1193517783496578e-11,2,0.1208644081687989
"speltmeel",49.11523275240855,2.1615372248190434e-11,22,0.1656434848664184
"gluten",47.332042665925215,5.272025794755444e-11,280,0.16081419696382954
"amidon",46.63764317608221,7.460440307249347e-11,10,0.054417244948386
"colza",46.63764317608221,7.460440307249347e-11,8,0.07698642351077332
"guarkernmehl",45.630572235722354,1.2343750530434765e-10,26,0.07698642351077335
"eine",45.13405907363364,1.582208084300792e-10,86,0.05441724494838599
"ist",45.13405907363364,1.582208084300792e-10,61,0.11708378801125599
"bourbonvanilleschote",44.916548200428004,1.7639874265030437e-10,16,0.0636776529468722
"tournesol",44.31906354387388,2.37814116163927e-10,36,0.112837029098255
"dinkelvollkornmehl",43.84991671199417,3.0068486613089724e-10,33,0.16558644126237565
"apfelfaser",43.07074354494266,4.439222095904747e-10,5,0.1305317185402296
"gemüse",43.07074354494266,4.439222095904747e-10,12,0.16564348486641842
"süßlupinenmehl",43.07074354494266,4.439222095904747e-10,5,0.13354461393877048
"hydrogénée",42.915603722534364,4.797279894662925e-10,6,0.07698642351077331
"honing",42.915603722534364,4.797279894662925e-10,7,0.08228157953275958
"potassium",42.915603722534364,4.797279894662925e-10,6,0.1656434848664184
"flour",42.915603722534364,4.797279894662925e-10,4,0.07698642351077332
"59",42.915603722534364,4.797279894662925e-10,6,0.1656434848664184
"agent",42.915603722534364,4.797279894662925e-10,6,0.1656434848664184
"rohrzucker",42.815287244145466,5.044039796131903e-10,216,0.12664659191424804
