"feature","chi2_score_nuts","p_values_nuts","sample_count_nuts","correlation_to_nuts"
"gerstenmalzextrakt",13.25563158645848,0.0013230497465556088,13,0.08365002487113846
"jus",13.251596578712249,0.0013257216989744774,18,0.08365002487113846
"apfelsaft",13.184210526316171,0.0013711502907362788,44,0.08365002487113846
"purée",13.184210526316171,0.0013711502907362788,10,0.08365002487113846
"gerstemoutmeel",12.933014354066838,0.0015546463652912589,9,0.08365002487113846
"geliermittel",12.922847394666599,0.0015625695000150378,30,0.08365002487113846
"landwirtschaft",12.733398165209907,0.0017178202598993903,462,0.08365002487113846
"biologischem",12.644738356247183,0.0017956841670108872,10,0.08365002487113846
"pektin",12.584928229665437,0.001850195231660227,37,0.08365002487113846
"reinweinsteinbackpulver",12.539976750193642,0.001892250580311869,6,0.08365002487113846
"fr",12.528710463420364,0.0019029399783435433,222,0.08365002487113846
